city,area,rooms,bathroom,parking_spaces,floor,animal,furniture,hoa,total
Belo Horizonte,50.0,2,1,1,4,accept,not furnished,250.0,1191.0
Sao Paulo,42.0,1,1,0,0,not accept,not furnished,0.0,1675.0
Campinas,55.0,1,1,1,2,accept,not furnished,0.0,1211.0
Rio de Janeiro,55.0,1,2,1,2,accept,not furnished,650.0,1921.0
Belo Horizonte,80.0,2,3,2,6,accept,not furnished,980.0,4634.0
Sao Paulo,42.0,1,1,1,5,accept,not furnished,460.0,2885.0
Campinas,70.0,2,1,1,3,accept,not furnished,500.0,1866.0
Campinas,78.0,3,2,1,15,accept,not furnished,542.0,2575.0
Belo Horizonte,55.0,2,1,1,2,accept,not furnished,200.0,1406.0
Sao Paulo,63.0,2,1,1,3,accept,not furnished,600.0,1769.0
Sao Paulo,57.0,2,2,1,8,accept,not furnished,358.0,3073.0
Porto Alegre,78.0,2,1,0,2,accept,not furnished,80.0,1521.0
Sao Paulo,140.0,2,2,2,7,accept,not furnished,1260.0,8086.0
Belo Horizonte,71.0,3,2,2,3,accept,not furnished,270.0,1689.0
Sao Paulo,845.0,5,9,6,0,accept,furnished,0.0,9627.0
Belo Horizonte,70.0,2,1,1,3,not accept,not furnished,344.0,1566.0
Campinas,40.0,1,1,0,8,not accept,not furnished,327.0,942.0
Sao Paulo,82.0,2,2,1,2,accept,furnished,750.0,3941.0
Sao Paulo,31.0,1,1,1,4,accept,not furnished,272.0,3577.0
Porto Alegre,62.0,2,2,1,7,not accept,furnished,800.0,4857.0
Sao Paulo,156.0,4,4,3,9,accept,furnished,1531.0,6081.0
Sao Paulo,300.0,3,4,7,0,not accept,not furnished,0.0,4956.0
Rio de Janeiro,35.0,1,1,0,0,accept,not furnished,0.0,760.0
Sao Paulo,40.0,1,1,1,13,not accept,not furnished,1100.0,2881.0
Sao Paulo,39.0,1,1,1,5,accept,furnished,300.0,2072.0
Belo Horizonte,100.0,3,3,2,6,not accept,not furnished,720.0,2687.0
Rio de Janeiro,60.0,2,1,0,7,accept,not furnished,528.0,1729.0
Sao Paulo,43.0,2,1,0,1,not accept,not furnished,0.0,1386.0
Rio de Janeiro,120.0,2,2,0,8,accept,furnished,990.0,13270.0
Belo Horizonte,90.0,3,1,1,0,accept,not furnished,0.0,1384.0
Sao Paulo,170.0,3,2,1,14,accept,furnished,1670.0,12390.0
Belo Horizonte,154.0,4,2,3,4,not accept,furnished,2150.0,8269.0
Sao Paulo,108.0,3,3,2,3,accept,not furnished,1800.0,7054.0
Sao Paulo,20.0,1,1,0,4,accept,furnished,602.0,2555.0
Rio de Janeiro,200.0,4,3,2,7,accept,not furnished,1940.0,4737.0
Belo Horizonte,800.0,7,7,4,0,accept,furnished,0.0,9989.0
Sao Paulo,43.0,2,2,0,0,not accept,furnished,0.0,1843.0
Campinas,125.0,2,1,0,4,accept,not furnished,778.0,1759.0
Campinas,28.0,1,1,0,0,not accept,furnished,0.0,1408.0
Sao Paulo,37.0,1,1,1,1,not accept,furnished,604.0,3489.0
Sao Paulo,60.0,3,2,1,0,accept,furnished,0.0,2467.0
Sao Paulo,121.0,2,3,1,20,accept,not furnished,825.0,3588.0
Belo Horizonte,600.0,5,5,2,0,accept,not furnished,0.0,7781.0
Sao Paulo,161.0,3,3,2,10,accept,not furnished,1500.0,4703.0
Campinas,60.0,2,1,1,2,accept,not furnished,497.0,1932.0
Sao Paulo,60.0,3,1,1,7,accept,not furnished,630.0,2360.0
Rio de Janeiro,55.0,2,1,0,2,accept,not furnished,523.0,2962.0
Sao Paulo,90.0,3,1,1,2,accept,not furnished,1000.0,4089.0
Sao Paulo,65.0,2,1,0,0,accept,not furnished,0.0,1607.0
Porto Alegre,18.0,1,1,0,16,accept,not furnished,480.0,1206.0
Sao Paulo,345.0,3,3,5,2,accept,not furnished,3000.0,16750.0
Porto Alegre,50.0,2,1,1,4,accept,not furnished,600.0,1850.0
Sao Paulo,230.0,4,5,4,7,accept,not furnished,3240.0,16820.0
Sao Paulo,100.0,2,2,1,3,accept,not furnished,299.0,2233.0
Sao Paulo,136.0,3,3,3,13,accept,not furnished,1430.0,6054.0
Porto Alegre,263.0,3,3,0,2,accept,furnished,30.0,3732.0
Belo Horizonte,65.0,2,2,2,3,accept,not furnished,230.0,2068.0
Belo Horizonte,166.0,2,2,2,6,not accept,not furnished,300.0,2681.0
Sao Paulo,20.0,1,1,0,5,accept,furnished,602.0,2555.0
Campinas,308.0,4,3,4,0,accept,not furnished,0.0,4340.0
Sao Paulo,400.0,4,3,5,0,accept,not furnished,0.0,11220.0
Belo Horizonte,140.0,3,4,3,11,accept,not furnished,525.0,3872.0
Campinas,47.0,1,1,0,1,accept,furnished,380.0,951.0
Sao Paulo,178.0,3,3,3,8,accept,furnished,2500.0,11610.0
Belo Horizonte,100.0,3,2,1,1,accept,not furnished,288.0,1868.0
Sao Paulo,62.0,3,2,1,6,not accept,furnished,1550.0,6578.0
Sao Paulo,390.0,4,4,5,8,not accept,furnished,8500.0,21130.0
Sao Paulo,217.0,3,4,1,10,accept,not furnished,2200.0,11770.0
Belo Horizonte,280.0,4,4,3,8,accept,furnished,2850.0,12470.0
Sao Paulo,30.0,1,1,1,4,not accept,not furnished,673.0,3267.0
Sao Paulo,39.0,1,1,1,11,accept,furnished,390.0,2922.0
Belo Horizonte,118.0,3,3,1,1,accept,not furnished,350.0,1685.0
Sao Paulo,42.0,1,1,1,17,not accept,furnished,1352.0,3427.0
Sao Paulo,120.0,2,3,2,19,accept,furnished,0.0,10050.0
Sao Paulo,174.0,4,5,4,13,accept,furnished,1850.0,7223.0
Sao Paulo,450.0,4,4,3,7,accept,not furnished,5096.0,15220.0
Belo Horizonte,50.0,2,1,1,2,accept,not furnished,250.0,1231.0
Sao Paulo,50.0,2,2,2,6,accept,furnished,1720.0,8880.0
Rio de Janeiro,80.0,2,1,0,2,accept,not furnished,300.0,2402.0
Porto Alegre,134.0,3,2,2,4,accept,not furnished,985.0,4170.0
Campinas,188.0,5,4,0,0,accept,not furnished,0.0,4239.0
Rio de Janeiro,90.0,2,2,2,3,accept,furnished,1100.0,6213.0
Sao Paulo,340.0,4,4,3,14,not accept,not furnished,5000.0,11150.0
Sao Paulo,110.0,3,3,2,0,accept,not furnished,0.0,2920.0
Rio de Janeiro,58.0,2,1,1,9,accept,not furnished,500.0,3208.0
Rio de Janeiro,37.0,1,1,0,10,accept,furnished,687.0,2637.0
Sao Paulo,280.0,3,5,3,0,accept,not furnished,0.0,8121.0
Sao Paulo,220.0,3,4,3,16,accept,furnished,1500.0,10160.0
Sao Paulo,272.0,5,5,2,0,accept,not furnished,0.0,12080.0
Sao Paulo,49.0,2,1,1,18,accept,furnished,370.0,2476.0
Campinas,54.0,1,1,1,5,accept,not furnished,750.0,1600.0
Belo Horizonte,68.0,2,1,1,11,accept,not furnished,400.0,937.0
Sao Paulo,227.0,3,4,4,18,not accept,furnished,2100.0,15550.0
Belo Horizonte,350.0,5,4,4,0,accept,not furnished,0.0,16570.0
Porto Alegre,116.0,3,2,1,9,accept,not furnished,700.0,3505.0
Sao Paulo,130.0,2,2,1,17,accept,not furnished,993.0,6739.0
Sao Paulo,94.0,2,2,1,6,accept,not furnished,1000.0,4637.0
Sao Paulo,330.0,5,4,4,0,accept,not furnished,0.0,4862.0
Rio de Janeiro,230.0,4,4,0,6,accept,not furnished,2500.0,14540.0
Belo Horizonte,55.0,2,1,1,7,not accept,not furnished,160.0,1072.0
Sao Paulo,148.0,3,2,3,5,accept,furnished,1750.0,5701.0
Sao Paulo,500.0,3,3,7,0,accept,not furnished,0.0,5667.0
Campinas,184.0,4,3,4,0,accept,not furnished,0.0,3509.0
Rio de Janeiro,250.0,4,4,0,1,accept,not furnished,2000.0,7640.0
Belo Horizonte,306.0,3,5,0,0,accept,not furnished,0.0,8132.0
Belo Horizonte,20.0,1,1,0,7,accept,not furnished,420.0,1563.0
Porto Alegre,60.0,1,1,0,2,not accept,not furnished,300.0,1234.0
Sao Paulo,130.0,3,2,2,15,not accept,not furnished,1400.0,11680.0
Sao Paulo,450.0,4,5,7,0,accept,furnished,0.0,12520.0
Rio de Janeiro,113.0,3,1,0,1,not accept,furnished,700.0,3363.0
Rio de Janeiro,66.0,2,1,1,3,not accept,not furnished,699.0,1952.0
Campinas,83.0,2,1,1,1,not accept,not furnished,390.0,1413.0
Belo Horizonte,83.0,3,3,2,6,accept,furnished,450.0,4296.0
Sao Paulo,50.0,1,1,1,3,not accept,not furnished,1450.0,6414.0
Sao Paulo,52.0,2,1,1,2,accept,not furnished,789.0,4182.0
Sao Paulo,250.0,3,3,3,0,accept,not furnished,0.0,3259.0
Sao Paulo,121.0,2,2,1,2,accept,furnished,1800.0,5232.0
Rio de Janeiro,85.0,2,3,1,5,accept,not furnished,950.0,8336.0
Sao Paulo,152.0,4,3,3,13,not accept,not furnished,1607.0,7190.0
Sao Paulo,32.0,1,1,1,14,not accept,furnished,2000.0,3847.0
Sao Paulo,311.0,4,5,6,4,accept,furnished,5083.0,22720.0
Sao Paulo,97.0,3,2,2,1,accept,not furnished,730.0,4072.0
Sao Paulo,250.0,4,5,4,9,accept,not furnished,4000.0,13750.0
Rio de Janeiro,32.0,1,1,0,8,accept,not furnished,574.0,2059.0
Sao Paulo,360.0,4,9,8,0,accept,not furnished,0.0,9998.0
Sao Paulo,24.0,1,1,0,0,not accept,not furnished,0.0,884.0
Sao Paulo,55.0,1,1,1,10,accept,furnished,920.0,4460.0
Belo Horizonte,83.0,3,2,2,1,accept,not furnished,200.0,1579.0
Sao Paulo,87.0,3,2,2,9,not accept,not furnished,940.0,3807.0
Campinas,64.0,2,1,1,2,accept,not furnished,549.0,1486.0
Sao Paulo,25.0,1,1,0,0,not accept,not furnished,0.0,1458.0
Sao Paulo,30.0,1,1,1,6,accept,not furnished,1900.0,4052.0
Rio de Janeiro,500.0,2,5,5,0,not accept,not furnished,0.0,1892.0
Porto Alegre,75.0,2,2,2,4,accept,furnished,400.0,3283.0
Sao Paulo,205.0,3,3,4,0,accept,not furnished,0.0,7265.0
Belo Horizonte,88.0,3,2,0,0,accept,not furnished,0.0,1515.0
Porto Alegre,60.0,3,2,1,3,accept,not furnished,700.0,2607.0
Belo Horizonte,70.0,2,1,1,3,accept,not furnished,215.0,1390.0
Rio de Janeiro,100.0,2,3,0,1,accept,not furnished,0.0,1852.0
Porto Alegre,37.0,1,1,0,2,accept,not furnished,220.0,871.0
Sao Paulo,45.0,1,1,0,0,not accept,not furnished,50.0,1150.0
Sao Paulo,330.0,3,3,5,0,accept,not furnished,0.0,9829.0
Sao Paulo,35.0,1,1,0,2,not accept,furnished,726.0,3762.0
Belo Horizonte,144.0,3,1,2,0,accept,not furnished,483.0,2984.0
Belo Horizonte,70.0,3,2,1,3,accept,not furnished,250.0,1535.0
Sao Paulo,68.0,2,2,1,14,accept,not furnished,762.0,3026.0
Sao Paulo,101.0,3,2,2,6,not accept,not furnished,1205.0,6838.0
Sao Paulo,33.0,1,1,1,5,accept,not furnished,842.0,2963.0
Sao Paulo,200.0,4,2,2,0,accept,not furnished,0.0,6138.0
Sao Paulo,80.0,2,1,0,0,accept,not furnished,0.0,1513.0
Sao Paulo,74.0,2,1,0,0,not accept,not furnished,0.0,1344.0
Belo Horizonte,65.0,2,2,1,2,accept,not furnished,300.0,1896.0
Campinas,111.0,3,3,3,6,not accept,furnished,1000.0,6347.0
Sao Paulo,380.0,3,6,8,0,accept,furnished,0.0,9380.0
Sao Paulo,60.0,2,1,0,0,accept,not furnished,120.0,1956.0
Sao Paulo,300.0,3,3,5,0,accept,not furnished,0.0,4731.0
Porto Alegre,72.0,2,2,2,6,accept,not furnished,400.0,2924.0
Rio de Janeiro,75.0,2,2,1,5,not accept,furnished,1832.0,4881.0
Sao Paulo,70.0,2,1,2,7,accept,not furnished,543.0,2117.0
Belo Horizonte,360.0,5,4,1,0,accept,not furnished,0.0,4834.0
Sao Paulo,23.0,1,1,0,1,accept,not furnished,423.0,2024.0
Sao Paulo,100.0,3,2,2,10,not accept,not furnished,2152.0,5924.0
Sao Paulo,150.0,4,4,3,0,accept,not furnished,0.0,4334.0
Rio de Janeiro,57.0,1,1,1,2,accept,furnished,2480.0,5792.0
Sao Paulo,180.0,3,2,2,0,accept,not furnished,0.0,3508.0
Belo Horizonte,360.0,3,3,4,0,accept,not furnished,0.0,5536.0
Sao Paulo,120.0,3,3,2,11,accept,not furnished,995.0,3323.0
Belo Horizonte,45.0,2,1,1,1,not accept,not furnished,300.0,1212.0
Rio de Janeiro,30.0,1,1,0,8,accept,not furnished,456.0,1462.0
Sao Paulo,40.0,1,1,1,6,not accept,furnished,1300.0,4587.0
Sao Paulo,130.0,3,2,1,2,not accept,not furnished,1100.0,6042.0
Campinas,68.0,2,1,1,3,accept,not furnished,482.0,1324.0
Sao Paulo,70.0,2,1,1,1,accept,not furnished,280.0,1431.0
Rio de Janeiro,77.0,2,2,1,1,accept,not furnished,1150.0,4419.0
Sao Paulo,220.0,4,4,1,19,accept,not furnished,1800.0,8020.0
Campinas,55.0,1,1,1,10,accept,not furnished,550.0,1360.0
Porto Alegre,70.0,3,1,1,13,accept,not furnished,500.0,1855.0
Sao Paulo,250.0,4,4,4,9,accept,not furnished,3300.0,16570.0
Sao Paulo,110.0,3,2,2,6,accept,not furnished,950.0,6956.0
Campinas,151.0,2,2,1,8,accept,furnished,900.0,3188.0
Campinas,45.0,1,1,0,4,accept,not furnished,290.0,1009.0
Belo Horizonte,40.0,1,1,1,13,accept,not furnished,591.0,3498.0
Belo Horizonte,98.0,3,2,2,3,accept,not furnished,260.0,1457.0
Sao Paulo,70.0,2,2,1,1,accept,not furnished,280.0,1431.0
Sao Paulo,205.0,4,3,3,10,accept,not furnished,3800.0,15090.0
Sao Paulo,40.0,1,1,1,3,not accept,not furnished,225.0,1384.0
Sao Paulo,100.0,3,2,1,6,accept,not furnished,1684.0,5655.0
Belo Horizonte,55.0,2,1,1,1,accept,not furnished,250.0,1549.0
Sao Paulo,288.0,3,3,3,0,accept,not furnished,0.0,13060.0
Rio de Janeiro,70.0,1,1,0,9,not accept,furnished,776.0,4297.0
Sao Paulo,70.0,2,1,1,8,not accept,not furnished,600.0,2626.0
Sao Paulo,100.0,2,2,2,15,accept,not furnished,1050.0,3975.0
Porto Alegre,72.0,2,1,0,3,accept,furnished,620.0,2298.0
Rio de Janeiro,20.0,1,1,0,0,accept,furnished,422.0,1435.0
Porto Alegre,360.0,4,4,4,0,not accept,not furnished,0.0,3192.0
Sao Paulo,150.0,3,3,2,0,accept,not furnished,0.0,4986.0
Sao Paulo,130.0,3,4,0,3,accept,furnished,0.0,2474.0
Sao Paulo,22.0,1,1,0,25,accept,not furnished,385.0,2552.0
Campinas,53.0,1,1,1,8,accept,furnished,1350.0,4585.0
Rio de Janeiro,53.0,2,1,0,11,not accept,not furnished,500.0,1513.0
Sao Paulo,642.0,4,7,4,0,accept,not furnished,0.0,9437.0
Sao Paulo,240.0,4,5,5,9,accept,furnished,3442.0,15000.0
Sao Paulo,450.0,3,3,1,0,accept,not furnished,1125.0,7782.0
Campinas,57.0,2,1,1,3,not accept,not furnished,343.0,1271.0
Belo Horizonte,130.0,4,3,1,1,accept,not furnished,350.0,3191.0
Sao Paulo,53.0,2,2,1,7,accept,not furnished,450.0,2830.0
Porto Alegre,39.0,1,1,1,5,not accept,furnished,350.0,3055.0
Sao Paulo,850.0,6,7,4,0,not accept,not furnished,15000.0,30660.0
Sao Paulo,35.0,1,1,0,1,not accept,not furnished,250.0,1572.0
Sao Paulo,67.0,1,1,0,0,accept,not furnished,0.0,1375.0
Sao Paulo,120.0,3,2,1,6,accept,not furnished,850.0,3603.0
Sao Paulo,200.0,5,6,4,6,accept,not furnished,3300.0,9614.0
Belo Horizonte,69.0,3,1,2,4,accept,not furnished,230.0,1548.0
Porto Alegre,60.0,2,1,1,0,accept,not furnished,0.0,550.0
Belo Horizonte,30.0,1,1,1,1,accept,furnished,800.0,1732.0
Rio de Janeiro,30.0,1,1,0,11,accept,not furnished,500.0,1737.0
Campinas,650.0,4,6,4,0,accept,not furnished,760.0,15000.0
Porto Alegre,80.0,2,1,1,3,not accept,not furnished,500.0,2272.0
Sao Paulo,35.0,1,1,1,1,accept,not furnished,0.0,1020.0
Rio de Janeiro,135.0,3,2,1,6,accept,not furnished,1850.0,6520.0
Sao Paulo,60.0,2,1,0,3,accept,furnished,260.0,2083.0
Belo Horizonte,80.0,2,2,1,4,accept,not furnished,700.0,1885.0
Campinas,80.0,2,2,1,0,accept,not furnished,0.0,1564.0
Belo Horizonte,160.0,4,6,3,7,not accept,not furnished,1750.0,7395.0
Sao Paulo,135.0,2,2,1,12,accept,not furnished,1313.0,10470.0
Campinas,340.0,4,5,0,0,not accept,not furnished,800.0,5195.0
Sao Paulo,35.0,1,1,1,1,not accept,furnished,444.0,4120.0
Porto Alegre,38.0,1,1,0,6,not accept,not furnished,670.0,1580.0
Porto Alegre,81.0,3,2,1,6,accept,not furnished,490.0,2234.0
Belo Horizonte,150.0,3,3,3,0,accept,not furnished,0.0,6194.0
Sao Paulo,126.0,3,1,2,0,accept,not furnished,0.0,4563.0
Sao Paulo,71.0,1,1,0,1,accept,not furnished,718.0,2166.0
Sao Paulo,20.0,1,1,0,0,accept,furnished,602.0,2555.0
Campinas,55.0,1,1,1,5,not accept,not furnished,730.0,1570.0
Campinas,76.0,2,2,2,9,accept,furnished,1027.0,4015.0
Rio de Janeiro,40.0,1,1,0,3,accept,not furnished,700.0,3637.0
Sao Paulo,400.0,3,5,5,0,accept,not furnished,0.0,12690.0
Belo Horizonte,70.0,3,1,2,2,accept,not furnished,230.0,1244.0
Sao Paulo,38.0,1,1,1,16,accept,furnished,473.0,3319.0
Rio de Janeiro,80.0,2,1,0,6,accept,not furnished,1050.0,2695.0
Rio de Janeiro,64.0,1,1,0,7,accept,not furnished,670.0,1991.0
Belo Horizonte,300.0,4,3,2,0,accept,not furnished,0.0,10860.0
Sao Paulo,71.0,3,4,0,0,accept,not furnished,0.0,4061.0
Sao Paulo,25.0,1,1,1,5,not accept,furnished,600.0,4237.0
Sao Paulo,1000.0,4,7,4,10,accept,furnished,6000.0,26090.0
Sao Paulo,196.0,3,5,3,3,accept,furnished,3338.0,13060.0
Campinas,48.0,2,1,1,3,accept,not furnished,183.0,1389.0
Sao Paulo,315.0,3,5,2,14,not accept,not furnished,4300.0,25510.0
Belo Horizonte,184.0,3,1,2,1,accept,furnished,300.0,4464.0
Porto Alegre,450.0,5,4,4,0,accept,furnished,0.0,9410.0
Sao Paulo,102.0,3,2,2,1,accept,not furnished,1300.0,3610.0
Campinas,135.0,3,2,2,3,accept,not furnished,1100.0,3258.0
Sao Paulo,41.0,1,1,1,14,not accept,not furnished,707.0,3782.0
Sao Paulo,144.0,2,4,6,0,accept,not furnished,0.0,2455.0
Rio de Janeiro,110.0,3,3,1,6,not accept,not furnished,1300.0,2413.0
Porto Alegre,43.0,1,1,1,4,accept,not furnished,240.0,2138.0
Sao Paulo,450.0,4,5,2,0,not accept,furnished,0.0,16630.0
Belo Horizonte,70.0,2,1,2,1,accept,not furnished,222.0,1944.0
Sao Paulo,220.0,4,4,4,5,not accept,not furnished,2056.0,6903.0
Sao Paulo,52.0,1,2,1,13,accept,not furnished,1100.0,6374.0
Sao Paulo,198.0,2,2,2,13,accept,not furnished,1700.0,7590.0
Sao Paulo,30.0,2,1,0,0,accept,not furnished,0.0,1528.0
Rio de Janeiro,217.0,3,3,2,5,accept,furnished,2487.0,13520.0
Sao Paulo,290.0,4,4,0,0,accept,not furnished,0.0,8003.0
Porto Alegre,70.0,2,1,0,1,accept,furnished,350.0,1942.0
Rio de Janeiro,45.0,1,1,0,5,not accept,furnished,700.0,3317.0
Sao Paulo,40.0,1,1,1,8,not accept,not furnished,800.0,2547.0
Campinas,180.0,4,3,2,0,accept,not furnished,1050.0,5631.0
Rio de Janeiro,90.0,2,1,0,2,accept,not furnished,200.0,1558.0
Sao Paulo,26.0,1,1,0,4,not accept,not furnished,394.0,1615.0
Sao Paulo,629.0,4,4,4,0,accept,not furnished,0.0,17290.0
Sao Paulo,120.0,4,3,2,0,accept,not furnished,0.0,3113.0
Porto Alegre,49.0,1,1,0,1,not accept,not furnished,600.0,1224.0
Sao Paulo,44.0,2,1,1,13,accept,not furnished,290.0,1556.0
Sao Paulo,427.0,4,6,4,13,accept,not furnished,3440.0,14920.0
Sao Paulo,286.0,4,5,4,12,accept,furnished,3150.0,8781.0
Porto Alegre,88.0,2,2,2,1,accept,not furnished,240.0,1948.0
Sao Paulo,120.0,2,3,2,20,accept,not furnished,2000.0,9269.0
Sao Paulo,74.0,1,2,2,16,accept,furnished,1300.0,5191.0
Porto Alegre,350.0,3,4,4,0,not accept,not furnished,0.0,3730.0
Porto Alegre,80.0,2,2,1,4,accept,not furnished,693.0,2409.0
Sao Paulo,63.0,2,2,1,18,accept,not furnished,784.0,5275.0
Sao Paulo,22.0,1,1,0,5,accept,not furnished,423.0,2044.0
Sao Paulo,94.0,2,3,0,9,accept,not furnished,1700.0,3323.0
Sao Paulo,60.0,2,1,0,0,accept,not furnished,0.0,1650.0
Rio de Janeiro,190.0,4,4,0,4,accept,not furnished,2200.0,6852.0
Sao Paulo,78.0,2,1,1,1,accept,not furnished,410.0,2942.0
Belo Horizonte,300.0,5,4,4,0,accept,not furnished,0.0,10610.0
Sao Paulo,211.0,4,4,4,26,not accept,not furnished,1500.0,5134.0
Campinas,84.0,2,1,1,7,accept,not furnished,590.0,1808.0
Porto Alegre,300.0,3,3,5,0,accept,not furnished,0.0,3982.0
Belo Horizonte,497.0,5,5,4,0,not accept,not furnished,0.0,8852.0
Sao Paulo,71.0,3,2,1,2,accept,not furnished,530.0,3192.0
Rio de Janeiro,138.0,2,1,0,3,accept,not furnished,810.0,1998.0
Rio de Janeiro,120.0,3,2,1,12,accept,not furnished,1300.0,4047.0
Rio de Janeiro,110.0,2,2,1,2,accept,not furnished,1000.0,4756.0
Sao Paulo,30.0,1,1,1,14,accept,not furnished,457.0,3365.0
Sao Paulo,386.0,4,6,3,21,accept,not furnished,3890.0,18780.0
Rio de Janeiro,70.0,2,1,0,4,accept,not furnished,680.0,2802.0
Belo Horizonte,120.0,3,2,2,2,accept,not furnished,150.0,2069.0
Sao Paulo,300.0,2,3,2,1,accept,not furnished,7000.0,12440.0
Sao Paulo,40.0,1,1,0,0,not accept,not furnished,0.0,809.0
Sao Paulo,210.0,3,2,1,5,accept,furnished,3400.0,11450.0
Rio de Janeiro,62.0,3,2,1,4,accept,furnished,800.0,3102.0
Rio de Janeiro,84.0,3,2,1,6,accept,not furnished,839.0,2917.0
Sao Paulo,23.0,1,1,0,23,accept,not furnished,385.0,2501.0
Sao Paulo,140.0,2,4,2,19,not accept,not furnished,950.0,8008.0
Sao Paulo,40.0,1,1,1,5,accept,not furnished,512.0,2652.0
Sao Paulo,148.0,3,3,0,6,accept,not furnished,2056.0,4687.0
Sao Paulo,75.0,3,2,2,14,accept,not furnished,658.0,3075.0
Sao Paulo,40.0,1,1,0,0,accept,not furnished,0.0,677.0
Rio de Janeiro,77.0,2,2,2,2,accept,not furnished,1039.0,5595.0
Sao Paulo,90.0,2,2,0,1,not accept,not furnished,657.0,2480.0
Rio de Janeiro,300.0,4,4,0,0,accept,not furnished,0.0,4202.0
Rio de Janeiro,98.0,2,2,0,1,not accept,furnished,820.0,4082.0
Sao Paulo,64.0,2,2,1,4,accept,not furnished,750.0,3586.0
Sao Paulo,100.0,3,2,2,7,not accept,not furnished,1400.0,5162.0
Belo Horizonte,80.0,2,1,0,2,accept,not furnished,275.0,1899.0
Sao Paulo,110.0,3,2,1,2,not accept,not furnished,1341.0,6056.0
Sao Paulo,40.0,1,1,0,1,accept,not furnished,0.0,1069.0
Rio de Janeiro,80.0,2,1,0,3,accept,not furnished,877.0,2775.0
Sao Paulo,17.0,1,1,0,2,accept,not furnished,0.0,2777.0
Sao Paulo,137.0,2,2,1,0,not accept,not furnished,0.0,5080.0
Sao Paulo,230.0,4,3,4,17,not accept,furnished,2217.0,9039.0
Rio de Janeiro,90.0,3,3,1,5,accept,not furnished,811.0,2585.0
Sao Paulo,347.0,4,7,6,0,accept,not furnished,0.0,10030.0
Belo Horizonte,200.0,4,3,0,0,accept,not furnished,0.0,15280.0
Sao Paulo,56.0,1,1,0,9,accept,not furnished,390.0,1744.0
Campinas,650.0,5,4,8,0,accept,furnished,0.0,9070.0
Rio de Janeiro,30.0,1,1,0,1,accept,not furnished,310.0,1571.0
Campinas,52.0,1,1,1,17,accept,furnished,750.0,2139.0
Sao Paulo,120.0,3,2,2,5,not accept,not furnished,1520.0,6556.0
Rio de Janeiro,50.0,1,1,1,5,accept,not furnished,90.0,1114.0
Sao Paulo,120.0,3,2,1,17,accept,not furnished,1250.0,3506.0
Belo Horizonte,80.0,2,2,2,12,accept,furnished,1100.0,6264.0
Sao Paulo,58.0,2,2,1,6,accept,not furnished,450.0,5252.0
Porto Alegre,89.0,3,1,0,3,accept,not furnished,631.0,1833.0
Sao Paulo,250.0,3,4,3,1,accept,furnished,2900.0,12950.0
Sao Paulo,242.0,5,3,2,0,accept,not furnished,0.0,4694.0
Sao Paulo,55.0,2,1,1,1,accept,furnished,300.0,2612.0
Belo Horizonte,45.0,1,1,0,0,accept,not furnished,0.0,1246.0
Sao Paulo,204.0,4,6,4,8,accept,furnished,3900.0,11730.0
Rio de Janeiro,37.0,1,1,0,4,accept,furnished,709.0,2121.0
Sao Paulo,50.0,1,1,0,6,accept,furnished,240.0,2914.0
Sao Paulo,73.0,2,2,2,1,accept,not furnished,778.0,2078.0
Porto Alegre,180.0,6,2,2,2,accept,not furnished,0.0,4394.0
Rio de Janeiro,300.0,4,2,0,0,accept,not furnished,219.0,7098.0
Porto Alegre,71.0,2,2,1,3,accept,not furnished,861.0,2259.0
Sao Paulo,284.0,3,2,2,9,accept,furnished,2300.0,9568.0
Campinas,37.0,1,1,1,2,accept,not furnished,478.0,1041.0
Sao Paulo,35.0,1,1,0,0,not accept,not furnished,0.0,796.0
Sao Paulo,190.0,2,2,4,0,accept,not furnished,0.0,4264.0
Sao Paulo,67.0,2,1,1,2,accept,furnished,894.0,2540.0
Rio de Janeiro,98.0,2,2,0,10,accept,not furnished,950.0,4093.0
Sao Paulo,260.0,4,5,2,1,accept,furnished,2600.0,11120.0
Sao Paulo,139.0,3,2,2,1,not accept,not furnished,1600.0,5845.0
Porto Alegre,76.0,2,2,1,4,accept,not furnished,700.0,2933.0
Belo Horizonte,150.0,3,2,1,3,accept,not furnished,480.0,3744.0
Rio de Janeiro,51.0,1,1,1,4,accept,not furnished,800.0,1979.0
Belo Horizonte,120.0,3,2,2,2,accept,not furnished,150.0,2068.0
Porto Alegre,42.0,1,1,0,3,accept,furnished,150.0,1216.0
Belo Horizonte,180.0,4,2,2,1,accept,not furnished,1500.0,4605.0
Sao Paulo,65.0,2,1,0,1,accept,furnished,286.0,4557.0
Sao Paulo,420.0,5,4,4,7,accept,not furnished,8000.0,20350.0
Sao Paulo,90.0,2,2,2,9,not accept,not furnished,1649.0,3917.0
Sao Paulo,44.0,1,1,0,7,accept,not furnished,460.0,2182.0
Sao Paulo,240.0,2,3,1,3,accept,furnished,2300.0,8913.0
Sao Paulo,280.0,4,5,4,0,accept,not furnished,0.0,6796.0
Sao Paulo,120.0,2,2,3,9,accept,not furnished,2449.0,6366.0
Belo Horizonte,140.0,4,3,4,10,not accept,not furnished,1050.0,3757.0
Sao Paulo,65.0,2,2,1,16,accept,not furnished,489.0,2330.0
Belo Horizonte,52.0,1,2,1,11,accept,furnished,1000.0,4859.0
Porto Alegre,199.0,3,4,3,7,accept,furnished,900.0,10110.0
